Case,Age,Years_in_post,Highest_LOE,PTI1,PTI2,PTI3,PTI4,PTI5,PTI6,PTI7,PTI8,PTI9,PTI10,PTI11,PTI12,PTI13,PTI14,PTI15,PTI16,PTI17,PTI18,PTI19,PTI20,PTI21,PTI22,PTI23,PTI24,PTI25,PTI26,PTI27,PTI28,PTI29,PTI30,PTI31,PTI32,PTI33,PTI34,PTI35,PTI36,PTI37,Specific_training_needs,Other_training_needs,PTP1,PTP2,PTP3,PTP4,PTP5,PTP6,PTP7,PTP8,PTP9,PTP10,PTP11,PTP12,PTP13,PTP14,PTP15,PTP16,PTP17,PTP18,PTP19,PTP20,PTP21,PTP22,PTP23,PTP24,PTP25,PTP26,PTP27,PTP28,PTP29,PTP30,PTP31,PTP32,PTP33,PTP34,PTP35,PTP36,PTP37
162,42,23,1,6,6,1,6,7,6,1,7,6,6,6,7,7,7,7,7,7,4,2,6,1,7,1,5,5,7,7,4,7,7,7,7,5,7,7,7,7,2,2,6,7,1,7,5,5,3,7,2,6,6,7,7,7,7,5,3,6,5,6,2,4,7,5,5,2,7,4,7,4,6,4,5,4,3,4,4
163,30,2,1,5,6,5,7,7,5,5,7,7,7,7,5,7,7,5,5,5,5,7,5,5,7,7,4,7,7,5,5,5,7,7,5,7,7,7,7,7,5,5,6,7,1,5,4,4,2,7,5,1,7,5,4,7,6,5,5,3,6,6,3,3,5,6,4,3,5,5,7,5,6,4,4,4,4,5,6
164,40,11,2,6,7,5,6,6,6,6,6,5,5,5,5,7,6,6,6,6,6,6,6,5,6,6,6,6,7,6,6,6,7,7,6,7,6,7,7,6,1,1,6,7,2,5,3,6,2,6,5,2,5,6,7,7,6,6,6,6,6,6,2,6,7,6,4,6,6,6,6,5,5,3,3,5,3,3,3
165,44,15,2,7,6,6,6,6,5,7,7,5,6,6,6,7,7,5,6,6,6,5,6,6,6,6,5,5,4,4,4,5,5,4,6,6,6,4,6,6,1,1,7,7,2,7,6,5,4,4,3,2,2,3,3,6,6,7,6,4,6,6,3,6,4,5,5,4,7,6,5,4,6,4,5,5,4,4,6
166,46,21,1,7,7,5,5,6,6,5,6,5,5,6,6,6,6,6,6,5,5,5,6,5,6,5,5,5,6,6,5,6,5,6,7,7,6,6,6,6,7,6,7,6,3,4,6,6,5,6,5,5,6,6,6,7,6,6,5,6,5,6,2,6,5,5,5,6,6,6,6,3,6,3,3,5,5,4,4
167,47,15,1,7,7,7,7,6,7,6,7,7,7,6,7,7,6,6,7,7,7,6,7,6,6,7,6,6,7,6,6,7,7,7,6,7,6,7,7,7,7,7,6,7,1,3,6,5,3,7,2,4,7,5,5,7,7,4,4,6,6,5,3,6,7,6,4,4,6,6,6,4,4,4,5,6,4,3,4
168,29,2,2,7,6,5,4,6,6,5,7,5,5,5,7,5,6,5,5,5,5,4,5,4,7,5,5,6,7,7,7,7,7,7,5,7,7,7,7,7,4,11,4,5,1,4,5,6,5,7,4,2,5,5,5,6,5,5,4,5,4,5,4,7,4,2,5,6,6,5,7,3,5,5,3,6,5,4,6
169,31,4,1,6,7,5,6,7,5,5,6,6,5,5,6,6,6,5,6,7,7,4,6,5,5,5,5,6,7,7,6,6,7,7,5,7,7,7,7,7,2,2,6,6,2,5,3,5,1,6,6,2,5,6,6,6,5,6,4,5,4,6,3,5,7,3,3,3,4,6,6,3,5,5,6,6,5,4,6
170,31,0,2,7,6,6,5,7,7,7,7,6,6,6,7,7,7,7,7,7,7,6,7,6,6,5,6,7,7,6,6,6,7,7,7,6,7,7,7,7,1,12,7,7,4,5,5,7,5,6,3,3,4,7,5,6,5,3,5,6,5,5,4,7,4,3,5,2,6,6,6,6,6,2,5,5,4,3,4
171,45,6,2,6,6,6,6,5,6,4,7,6,6,6,6,6,6,7,6,6,6,5,7,4,6,4,5,6,7,7,7,7,6,6,6,7,6,6,6,6,2,2,5,6,4,4,5,6,4,7,4,6,6,6,4,6,7,6,6,4,5,4,4,6,4,2,3,3,5,5,7,2,5,4,4,6,4,5,5
172,30,3,2,6,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,6,7,6,7,1,11,6,7,3,3,3,6,1,6,6,4,6,7,6,6,6,6,5,6,6,6,2,6,7,4,4,4,6,6,7,4,4,3,2,6,5,4,6
173,46,10,2,7,5,4,6,7,7,5,7,7,5,7,7,7,7,7,7,5,6,7,7,3,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,5,2,7,5,4,5,7,3,3,7,7,6,7,7,4,6,6,4,5,3,7,4,6,3,3,5,6,7,3,6,3,5,5,3,6,4
174,42,6,2,7,6,6,6,7,7,6,7,6,5,6,5,6,7,7,6,6,7,6,7,5,6,4,5,6,7,7,7,7,6,6,6,7,7,7,7,7,1,8,5,6,5,7,4,7,6,7,6,5,6,4,3,7,5,6,3,7,6,5,3,6,4,5,4,3,4,4,7,4,4,4,4,4,5,5,5
175,54,30,1,7,7,6,6,6,7,5,7,6,5,7,6,7,6,5,6,6,5,5,7,5,6,5,6,5,6,5,4,5,3,4,7,5,7,7,7,6,1,10,6,7,4,4,3,4,5,7,6,3,7,7,6,6,5,6,6,5,5,5,3,6,3,6,5,5,5,5,5,2,5,4,3,4,3,3,5
176,32,2,2,6,5,3,3,5,6,3,6,3,3,5,5,6,6,6,3,3,3,3,5,3,5,3,2,3,5,4,4,4,5,6,4,7,5,6,6,7,6,11,4,5,3,3,5,6,4,6,3,1,3,4,3,6,4,5,3,5,3,6,2,6,7,3,5,3,4,6,6,5,5,3,5,5,6,5,6
177,29,0,2,5,7,5,6,5,7,5,7,6,7,7,7,6,7,6,6,5,6,6,7,6,6,5,5,6,5,6,6,6,7,7,3,6,7,7,7,7,6,6,5,6,1,6,5,4,6,4,6,2,4,6,4,7,4,6,3,5,6,5,3,6,5,5,3,2,6,5,6,5,5,5,4,4,4,3,5
178,33,4,2,6,6,5,5,6,7,3,7,5,6,6,6,5,6,7,6,6,7,5,7,4,7,6,5,6,6,7,7,7,6,6,6,7,6,6,6,6,1,1,6,6,2,3,4,5,3,4,5,1,6,7,6,6,7,6,6,7,5,7,4,5,7,5,5,3,4,5,7,5,5,4,4,4,4,3,5
179,38,9,2,7,7,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,6,7,6,5,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,4,5,2,3,4,5,4,5,2,1,4,6,3,7,7,7,3,7,6,4,5,5,4,5,4,3,6,6,6,6,6,5,3,5,6,4,6
180,47,14,2,7,4,5,6,7,7,5,7,6,5,7,7,7,7,7,5,6,6,6,7,5,7,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,1,6,4,5,5,7,2,2,3,5,2,7,7,6,6,6,6,4,1,3,5,6,6,3,7,6,6,3,7,6,5,5,3,5,4
181,48,10,2,7,5,4,6,7,7,4,7,5,5,7,7,7,7,7,7,4,6,6,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,3,5,5,4,4,7,5,5,5,4,3,7,7,7,4,6,6,4,5,4,6,6,3,2,7,5,5,3,4,3,6,6,3,5,3
182,49,8,2,7,5,4,5,7,7,4,7,6,4,7,7,7,7,7,5,5,6,6,7,4,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,3,5,3,5,4,6,6,4,7,5,3,7,7,6,6,6,6,6,4,4,5,6,3,3,6,6,6,4,4,3,5,4,5,3,6
183,42,13,1,7,5,5,6,7,7,3,7,4,5,6,7,7,7,7,7,5,6,6,7,5,7,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,1,4,5,6,2,7,3,3,6,7,7,7,7,7,5,6,6,5,5,3,5,5,3,2,7,6,7,4,4,3,3,5,4,4,6
184,41,15,2,7,7,6,6,7,7,4,7,7,6,7,7,7,7,6,6,7,7,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,10,6,7,2,3,4,5,3,7,3,4,7,7,7,7,6,6,3,7,4,7,3,5,7,6,4,2,6,5,5,3,4,5,4,5,3,4,2
185,31,4,2,6,5,5,5,6,6,5,7,6,5,6,7,7,7,7,7,7,5,5,7,5,7,5,4,2,7,5,7,7,7,7,7,7,7,7,7,7,1,11,6,5,2,6,5,6,3,7,6,5,6,7,6,7,7,7,6,5,5,5,1,5,4,4,2,2,6,6,7,4,7,4,2,5,5,6,4
186,36,7,2,6,5,5,5,6,6,5,7,6,6,6,6,6,7,7,6,5,7,5,7,4,6,4,5,6,7,7,7,7,6,7,6,1,7,7,7,7,4,4,6,5,2,7,3,6,2,4,4,3,6,6,6,7,7,6,5,7,5,6,4,6,7,5,2,3,6,5,7,5,5,4,5,4,5,3,4
187,42,18,2,7,7,7,7,7,7,3,7,6,4,5,7,6,7,7,7,4,3,2,3,6,4,3,3,3,2,6,6,6,2,2,2,6,5,6,6,6,4,4,5,7,3,6,5,4,3,7,4,4,2,5,3,7,5,7,4,5,3,4,3,4,6,3,3,3,6,6,6,4,7,5,4,5,6,5,5
188,54,25,2,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,1,5,4,5,4,6,3,2,6,7,6,5,7,6,6,6,6,4,3,6,7,6,2,2,7,5,6,2,3,3,5,5,3,4,4
189,50,30,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,6,6,5,6,2,5,5,5,2,7,2,3,7,6,3,6,5,7,4,6,5,6,5,4,6,4,2,2,6,6,6,7,7,5,4,5,2,5,5
190,36,11,2,7,7,6,7,6,7,6,7,6,7,6,6,7,7,7,7,6,6,6,7,6,7,6,6,7,7,6,6,6,7,7,6,6,7,7,7,7,4,4,5,7,3,3,2,5,3,6,6,2,6,4,5,7,7,7,6,6,6,5,6,4,5,5,6,3,6,6,4,3,6,3,6,6,4,4,3
191,56,33,1,7,7,6,6,6,6,5,5,6,6,6,6,7,7,6,6,6,7,6,6,6,6,7,6,7,7,6,6,6,7,7,7,6,6,7,7,7,5,5,7,6,1,3,3,6,3,5,3,2,6,7,7,7,7,4,3,6,6,5,4,6,3,3,4,2,5,6,7,3,7,4,6,5,3,5,4
192,41,10,2,7,6,6,5,6,7,5,7,5,5,6,6,6,7,6,6,5,6,6,7,4,6,4,6,5,6,6,6,6,6,6,6,7,6,6,6,6,5,5,6,7,2,7,4,4,2,6,5,4,3,5,1,5,4,6,5,3,6,4,4,6,4,3,5,3,5,7,7,2,6,3,4,4,3,4,6
193,34,7,2,7,6,6,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,4,4,4,3,7,3,2,7,5,4,7,4,7,3,4,6,6,1,3,7,4,2,3,7,4,7,2,4,4,5,5,6,5,4
194,39,5,2,6,6,6,6,6,6,5,7,6,7,6,6,6,6,7,6,5,6,6,6,4,6,4,6,6,6,6,6,6,6,6,6,7,7,6,7,7,7,11,7,6,2,4,3,6,2,5,2,3,6,6,6,7,7,6,3,6,6,6,4,4,5,3,6,1,6,6,6,3,4,3,4,6,6,5,5
195,41,13,2,7,6,6,6,6,6,5,7,5,6,5,5,5,6,6,6,6,6,6,6,4,6,4,4,6,6,7,7,7,6,6,6,7,7,7,7,7,5,14,6,6,2,5,4,6,3,5,2,6,5,6,7,7,6,6,2,6,6,6,4,6,4,4,6,2,6,5,7,3,5,5,4,5,3,4,2
196,37,9,2,7,7,6,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,4,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,5,6,7,3,5,4,4,3,4,6,2,5,4,3,7,4,7,3,5,4,7,3,4,7,5,3,2,6,6,6,4,5,4,5,4,4,5,5
197,56,29,1,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,5,6,6,7,5,6,6,7,7,7,7,7,7,7,7,1,7,7,7,7,7,5,5,7,7,6,6,2,7,3,7,3,2,5,4,3,7,4,6,5,6,6,5,3,6,5,5,4,4,6,5,5,4,5,5,4,4,4,4,4
198,55,30,2,7,7,5,7,7,6,5,7,7,6,6,7,7,7,7,7,6,7,6,6,5,7,6,5,6,7,6,6,6,6,6,6,6,7,7,7,7,6,6,5,7,5,6,2,6,2,7,4,2,6,4,5,7,5,7,4,4,6,5,2,6,7,5,6,4,6,6,6,4,6,2,3,5,5,5,5
199,41,12,2,6,6,7,6,6,7,6,7,6,5,6,6,6,6,6,6,5,6,5,7,4,6,4,5,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,4,5,3,4,2,7,2,4,6,7,6,6,6,6,5,6,5,4,4,6,4,7,6,3,7,5,6,3,5,2,4,4,4,4,5
200,38,8,2,7,7,7,6,7,7,6,7,6,5,7,7,7,7,7,6,7,6,6,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,6,7,2,5,3,5,3,6,2,1,5,4,4,7,7,7,4,6,6,5,5,7,6,4,3,3,5,6,6,3,6,3,5,4,4,4,2
201,40,14,2,7,7,7,7,7,7,4,7,6,6,6,7,6,7,7,6,6,7,6,7,4,6,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,2,6,3,5,5,7,6,3,6,7,5,7,7,6,5,5,6,4,4,6,4,6,6,3,5,4,6,5,4,2,4,5,4,5,4
202,36,7,2,6,6,5,5,6,7,4,7,5,6,6,6,6,7,7,6,5,6,6,7,4,6,4,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,5,5,3,4,4,7,3,4,6,4,3,7,4,6,5,5,6,4,4,6,4,4,6,3,6,4,7,4,5,3,4,4,3,4,2
